novo_nome,Imagem,Qualidade_Total,seq,left_path,right_path
img_0044.png,img_24.png,1231.4153,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_24.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_24.png
img_0045.png,img_45.png,1230.435,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_45.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_45.png
img_0046.png,img_29.png,1229.4492,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_29.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_29.png
img_0047.png,img_31.png,1222.4708,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_31.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_31.png
img_0048.png,img_38.png,1221.9575,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_38.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_38.png
img_0049.png,img_15.png,1221.199,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_15.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_15.png
img_0050.png,img_38.png,1219.5952,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_38.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_38.png
img_0051.png,img_34.png,1215.9077,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_34.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_34.png
img_0052.png,img_46.png,1213.4753,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_46.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_46.png
img_0053.png,img_08.png,1211.0021,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_08.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_08.png
img_0054.png,img_28.png,1210.0884,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_28.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_28.png
img_0055.png,img_49.png,1207.6638,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_49.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_49.png
img_0056.png,img_03.png,1207.1664,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_03.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_03.png
img_0057.png,img_32.png,1202.8567,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_32.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_32.png
img_0058.png,img_07.png,1200.7965,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_07.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_07.png
img_0059.png,img_04.png,1195.0952,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_04.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_04.png
img_0060.png,img_25.png,1188.6985,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_25.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_25.png
