epoch,accuracy,categorical_crossentropy,learning_rate,loss,top3_accuracy,top5_accuracy,val_accuracy,val_categorical_crossentropy,val_loss,val_top3_accuracy,val_top5_accuracy
0,0.15102040767669678,2.7907159328460693,0.0010000000474974513,2.7943289279937744,0.4416326582431793,0.7191836833953857,0.1371428519487381,2.1168150901794434,2.1158413887023926,0.43142858147621155,0.677142858505249
1,0.1314285695552826,2.5598740577697754,0.0010000000474974513,2.5648961067199707,0.4514285624027252,0.7289795875549316,0.1485714316368103,2.009343147277832,2.01106858253479,0.4171428680419922,0.7371428608894348
2,0.13224489986896515,2.4500741958618164,0.0010000000474974513,2.4463765621185303,0.41224488615989685,0.7077550888061523,0.1371428519487381,2.113598585128784,2.1147477626800537,0.4571428596973419,0.7371428608894348
3,0.14122448861598969,2.341054677963257,0.0010000000474974513,2.3405444622039795,0.4310204088687897,0.713469386100769,0.1371428519487381,2.66923451423645,2.678020477294922,0.43142858147621155,0.7542856931686401
4,0.13959184288978577,2.276881217956543,0.0010000000474974513,2.2756383419036865,0.4269387722015381,0.7191836833953857,0.1371428519487381,3.7311489582061768,3.7240848541259766,0.38285714387893677,0.7028571367263794
5,0.11999999731779099,2.2432103157043457,0.0010000000474974513,2.2389440536499023,0.4261224567890167,0.7069388031959534,0.17428570985794067,3.881927728652954,3.892224073410034,0.42571428418159485,0.7028571367263794
6,0.14367346465587616,2.147160768508911,0.0010000000474974513,2.149458408355713,0.4416326582431793,0.7273469567298889,0.17428570985794067,2.405308723449707,2.4092941284179688,0.42571428418159485,0.7057142853736877
7,0.15755102038383484,2.125410556793213,0.0005000000237487257,2.125703811645508,0.4359183609485626,0.7053061127662659,0.1371428519487381,2.3975489139556885,2.396556854248047,0.44285714626312256,0.7057142853736877
8,0.11999999731779099,2.1038706302642822,0.0005000000237487257,2.103719472885132,0.4424489736557007,0.7126530408859253,0.11428571492433548,2.2876205444335938,2.283909559249878,0.4000000059604645,0.7057142853736877
9,0.13061223924160004,2.1244332790374756,0.0005000000237487257,2.1202473640441895,0.3861224353313446,0.6889795660972595,0.1485714316368103,2.2591230869293213,2.2579033374786377,0.4285714328289032,0.6885714530944824
10,0.15102040767669678,2.0748255252838135,0.0005000000237487257,2.074488878250122,0.41959184408187866,0.7142857313156128,0.1485714316368103,2.0164804458618164,2.017327308654785,0.43142858147621155,0.7371428608894348
11,0.14938776195049286,2.048055410385132,0.0005000000237487257,2.04978346824646,0.4310204088687897,0.7265306115150452,0.1485714316368103,2.098801851272583,2.0958008766174316,0.3942857086658478,0.677142858505249
12,0.1469387710094452,2.047349214553833,0.0005000000237487257,2.0482397079467773,0.44326531887054443,0.7110204100608826,0.1485714316368103,2.076162576675415,2.0746688842773438,0.3942857086658478,0.7142857313156128
13,0.13224489986896515,2.0504305362701416,0.0002500000118743628,2.050544023513794,0.43673470616340637,0.7142857313156128,0.11428571492433548,1.979765772819519,1.9782973527908325,0.41999998688697815,0.7142857313156128
14,0.15346938371658325,2.0324714183807373,0.0002500000118743628,2.033003568649292,0.4457142949104309,0.7257142663002014,0.11428571492433548,1.969789743423462,1.9683040380477905,0.3942857086658478,0.6800000071525574
15,0.16326530277729034,2.0034873485565186,0.0002500000118743628,2.006777763366699,0.4514285624027252,0.7281632423400879,0.14571428298950195,2.005861520767212,2.003868818283081,0.40857142210006714,0.677142858505249
