epoch,accuracy,learning_rate,loss,top3_accuracy,top5_accuracy,val_accuracy,val_loss,val_top3_accuracy,val_top5_accuracy
0,0.1583673506975174,0.0010000000474974513,1.9496307373046875,0.43755102157592773,0.7208163142204285,0.1542857140302658,1.9649220705032349,0.44857141375541687,0.677142858505249
1,0.16734693944454193,0.0010000000474974513,1.9375587701797485,0.45061224699020386,0.7248979806900024,0.14000000059604645,1.9625176191329956,0.41428571939468384,0.6628571152687073
2,0.19265305995941162,0.0010000000474974513,1.9254175424575806,0.4946938753128052,0.7591836452484131,0.14571428298950195,1.981462001800537,0.4000000059604645,0.7657142877578735
3,0.18693877756595612,0.0010000000474974513,1.9135915040969849,0.49306121468544006,0.7812244892120361,0.20000000298023224,1.9023150205612183,0.5857142806053162,0.7228571176528931
4,0.2179591804742813,0.0010000000474974513,1.872633695602417,0.5795918107032776,0.8114285469055176,0.2571428716182709,1.8466947078704834,0.6228571534156799,0.8971428275108337
5,0.24081632494926453,0.0010000000474974513,1.8116081953048706,0.6244897842407227,0.872653067111969,0.17428570985794067,1.923738718032837,0.4628571569919586,0.8028571605682373
6,0.2840816378593445,0.0010000000474974513,1.7096141576766968,0.6759183406829834,0.9167346954345703,0.2628571391105652,1.6343104839324951,0.7799999713897705,0.9800000190734863
7,0.31183674931526184,0.0010000000474974513,1.6193530559539795,0.7232652902603149,0.9469387531280518,0.2742857038974762,1.5542023181915283,0.7142857313156128,0.954285740852356
8,0.309387743473053,0.0010000000474974513,1.5648162364959717,0.7322449088096619,0.9469387531280518,0.3685714304447174,1.4933335781097412,0.8428571224212646,0.9628571271896362
9,0.3248979449272156,0.0010000000474974513,1.5518083572387695,0.7542856931686401,0.9551020264625549,0.29428571462631226,1.49840247631073,0.8171428442001343,0.9457142949104309
10,0.370612233877182,0.0010000000474974513,1.4452574253082275,0.8040816187858582,0.9746938943862915,0.3628571331501007,1.3654975891113281,0.8600000143051147,0.9971428513526917
