Imagem,Qualidade_Total,Tamanho_Tabuleiro,Qualidade_Esquerda,Qualidade_Direita
img_01.png,1100.2067,8x5,1100,1171
img_02.png,1241.0845,8x5,1241,1281
img_03.png,1207.1664,8x5,1209,1207
img_04.png,1195.0952,8x5,1195,1199
img_05.png,1170.9683,8x5,1171,1213
img_06.png,1232.1211,8x5,1232,1249
img_07.png,1200.7965,8x5,1201,1231
img_08.png,1211.0021,8x5,1211,1219
img_09.png,1183.1841,8x5,1210,1183
img_10.png,1174.1667,8x5,1193,1174
img_11.png,1157.6931,8x5,1167,1158
img_12.png,1188.0168,8x5,1188,1189
img_13.png,1185.5344,8x5,1198,1186
img_14.png,1120.221,8x5,1170,1120
img_15.png,1124.3455,8x5,1131,1124
img_16.png,1122.782,8x5,1123,1182
img_17.png,1152.3185,8x5,1152,1204
img_18.png,1103.8583,8x5,1137,1104
img_19.png,1317.7942,8x5,1334,1318
img_20.png,1300.0735,8x5,1300,1332
img_21.png,1255.5354,8x5,1256,1343
img_22.png,1250.277,8x5,1267,1250
img_23.png,1294.5496,8x5,1318,1295
img_24.png,1263.9424,8x5,1289,1264
img_25.png,1188.6985,8x5,1214,1189
img_26.png,1241.2045,8x5,1255,1241
img_27.png,1239.9337,8x5,1266,1240
img_28.png,1270.3313,8x5,1279,1270
img_29.png,1229.4492,8x5,1229,1240
img_30.png,1187.5482,8x5,1188,1191
img_31.png,1172.2863,8x5,1179,1172
img_32.png,1276.4741,8x5,1277,1276
img_33.png,1288.3789,8x5,1288,1304
img_34.png,1277.4664,8x5,1277,1318
img_35.png,1291.5986,8x5,1292,1349
img_36.png,1157.3883,8x5,1172,1157
img_37.png,1182.3297,8x5,1207,1182
img_38.png,1219.5952,8x5,1229,1220
img_39.png,1149.6204,8x5,1205,1150
img_40.png,1143.2659,8x5,1143,1154
img_41.png,1283.6503,8x5,1284,1298
img_42.png,1258.4817,8x5,1258,1310
img_43.png,1285.8943,8x5,1286,1369
img_44.png,1248.7549,8x5,1249,1324
img_45.png,1230.435,8x5,1230,1288
img_46.png,1275.3403,8x5,1275,1302
img_47.png,1318.3159,8x5,1318,1324
img_48.png,1274.0065,8x5,1274,1288
img_49.png,1110.8806,8x5,1111,1130
img_50.png,1126.5864,8x5,1127,1133
